filename,class,xmin,ymin,xmax,ymax
89.tif,1,166.26,55.27,246.26,135.27
89.tif,1,124.76,20.02,204.76,100.02
89.tif,1,200.92,22.43,256,102.44
90.tif,1,0,40.07,68.6,120.07
91.tif,3,21.95,70.34,101.95,150.34
92.tif,4,142.45,86,222.45,166
93.tif,4,145.21,136.79,225.21,216.79
94.tif,4,158.67,178.07,238.67,256
95.tif,4,214.3,182.42,256,256
96.tif,4,192.42,144.32,256,224.32
96.tif,4,0,0,67.64,71.92
97.tif,4,155.5,3.03,235.5,83.03
97.tif,4,28.5,122.09,108.5,202.1
98.tif,4,0,166.54,71.57,246.55
98.tif,4,132.86,184.01,212.86,256
99.tif,4,125.11,45.39,205.11,125.39
99.tif,4,201.18,108.23,256,188.23
100.tif,4,198.77,0,256,65.16
101.tif,4,214.43,198.72,256,256
102.tif,4,169.86,175.55,249.86,255.55
102.tif,4,87.31,114.17,167.31,194.17
103.tif,4,127.65,33.73,207.65,113.73
104.tif,4,11.35,112.05,91.35,192.05
104.tif,4,64.26,175.55,144.26,255.55
105.tif,3,20.75,198.6,100.75,256
106.tif,4,0,69.83,74.41,149.84
107.tif,4,102.75,67.64,182.75,147.64
108.tif,4,76.94,92.77,156.94,172.77
109.tif,4,193.06,188.25,256,256
110.tif,4,174.89,136.74,254.89,216.75
111.tif,3,205.62,25.66,256,105.66
112.tif,1,142.52,142.88,222.52,222.88
113.tif,4,165.69,118.51,245.69,198.51
113.tif,4,16.79,150.21,96.79,230.21
114.tif,4,0,84.51,62.99,164.51
115.tif,4,179.53,202.49,256,256
115.tif,4,63.8,202.57,143.8,256
116.tif,4,159.87,189.71,239.87,256
117.tif,4,31.15,97.47,111.15,177.47
117.tif,4,96.84,4.68,176.84,84.69
118.tif,4,212.36,45.85,256,125.85
118.tif,4,213.66,42.35,256,122.35
118.tif,4,176.16,126.35,256,206.35
119.tif,4,0,19.85,65.36,99.85
119.tif,4,23.56,12.15,103.56,92.15
119.tif,4,26.96,123.65,106.96,203.65
120.tif,2,62.48,188.38,142.48,256
120.tif,2,157.29,188.05,237.29,256
121.tif,4,19.05,89.87,99.05,169.87
121.tif,4,57.65,129.97,137.65,209.98
121.tif,4,68.25,113.07,148.25,193.08
121.tif,4,50.25,72.57,130.25,152.57
121.tif,4,18.45,64.47,98.45,144.47
121.tif,4,0,25.97,69.65,105.97
121.tif,4,146.55,139.68,226.55,219.68
122.tif,4,165.22,0,245.22,69.91
122.tif,4,155.36,162.94,235.36,242.94
123.tif,4,49.8,43.8,129.8,123.8
123.tif,4,179.23,0,256,53.63
123.tif,4,0,78.11,56.75,158.11
124.tif,1,179.29,176,256,256
124.tif,1,203.42,207.41,256,256
125.tif,1,0,88.87,63.3,168.87
125.tif,1,64.74,125.81,144.74,205.81
125.tif,1,102.81,79.2,182.81,159.2
125.tif,1,61.85,68.03,141.85,148.03
125.tif,1,19.3,87.79,99.3,167.8
126.tif,1,208.28,0,256,49.2
127.tif,4,58.92,113.91,138.92,193.91
127.tif,4,67.6,39.47,147.6,119.47
128.tif,4,212.54,0,256,43.21
129.tif,4,46.87,0,126.87,51.19
130.tif,2,97.85,202.34,177.85,256
130.tif,2,13.5,210.75,93.5,256
131.tif,4,32.57,172.25,112.57,252.25
132.tif,4,187.28,200.86,256,256
133.tif,4,118.73,170.42,198.73,250.42
134.tif,4,0,185.46,45.92,256
134.tif,4,0.1,207.53,80.1,256
134.tif,2,140.73,110.59,220.73,190.59
135.tif,4,183.43,58.77,256,138.77
135.tif,4,24.23,85.97,104.23,165.97
135.tif,4,0,127.95,72.49,207.95
136.tif,4,0,14.4,47.2,94.4
136.tif,4,64.91,27.32,144.91,107.32
136.tif,4,165.26,77.98,245.26,157.98
137.tif,4,20.93,140.92,100.93,220.92
138.tif,2,136.3,133.39,216.3,213.39
138.tif,2,185.89,138.97,256,218.97
138.tif,2,204.74,0.69,256,80.69
139.tif,4,149.18,46.9,229.18,126.9
139.tif,4,130.84,29.14,210.84,109.14
139.tif,4,96.44,6.8,176.44,86.8
139.tif,2,42.86,0,122.86,70.77
139.tif,2,133.39,0,213.39,48.86
139.tif,2,55.45,65.69,135.45,145.69
139.tif,2,7.04,38.81,87.05,118.81
139.tif,2,32.85,139.98,112.85,219.98
139.tif,2,0,118.85,75.89,198.85
139.tif,2,15.31,78.97,95.31,158.97
139.tif,2,0,171.9,76.47,251.9
139.tif,2,1.9,0,81.9,76.77
140.tif,1,142.43,167.2,222.43,247.2
140.tif,1,186.63,138.23,256,218.23
140.tif,1,174.35,201.96,254.35,256
140.tif,1,151.86,79.47,231.86,159.47
141.tif,1,0,115.09,45.72,195.09
141.tif,1,0,180.53,53.89,256
141.tif,1,3.69,125.73,83.69,205.73
142.tif,1,93.1,31.44,173.1,111.44
143.tif,4,8.2,0,88.2,44.04
144.tif,3,0,0,49.75,45.89
145.tif,2,84.63,0,164.63,54.01
145.tif,2,137.55,143.34,217.55,223.34
146.tif,2,0,0,48.45,47.66
147.tif,4,165.52,142.43,245.52,222.43
148.tif,4,90.25,197.47,170.25,256
149.tif,4,156.05,176.67,236.05,256
149.tif,1,112.4,132,192.4,212
150.tif,4,1.82,157.09,81.82,237.09
151.tif,4,203.17,0,256,78.52
151.tif,2,44.63,89.11,124.63,169.11
152.tif,4,0,54.49,64.03,134.49
153.tif,4,184.38,85.27,256,165.27
153.tif,4,66,155.32,146.01,235.32
153.tif,4,113,111.87,193,191.87
153.tif,4,193.54,187.59,256,256
153.tif,4,58.14,90.27,138.14,170.27
153.tif,4,86.04,203.49,166.04,256
154.tif,4,0,123.67,50.98,203.67
154.tif,4,0,206.59,63.04,256
155.tif,4,45.99,136.71,125.99,216.72
155.tif,4,161.7,186.56,241.7,256
156.tif,4,72.53,156.6,152.53,236.6
157.tif,4,156.07,37.76,236.07,117.76
158.tif,4,43.13,23.47,123.13,103.47
158.tif,1,63.96,139.88,143.96,219.88
158.tif,1,78.36,154.28,158.36,234.28
159.tif,1,199.97,97.28,256,177.28
160.tif,4,0,0,65.82,74.64
160.tif,4,162.43,23.79,242.43,103.79
161.tif,2,0,13.29,64.45,93.29
162.tif,2,4.63,187.22,84.63,256
163.tif,2,131.08,126.87,211.08,206.87
164.tif,2,76.16,105.71,156.16,185.71
165.tif,2,161.31,140.53,241.31,220.53
165.tif,2,205.76,56.92,256,136.92
166.tif,2,108.51,58.09,188.51,138.09
167.tif,1,124.35,0,204.35,73.91
168.tif,1,40.33,12.43,120.33,92.43
169.tif,1,166.15,187.7,246.15,256
170.tif,1,199.9,131.73,256,211.73
171.tif,1,100.65,166.65,180.65,246.65
172.tif,2,170.6,197.48,250.6,256
173.tif,2,141.61,172.73,221.61,252.73
173.tif,2,203.52,66.36,256,146.36
174.tif,2,59,214,139,256
174.tif,2,112.97,172.73,192.97,252.73
175.tif,2,0,166.38,56.04,246.38
176.tif,2,120.03,169.55,200.03,249.55
176.tif,2,73.99,115.58,153.99,195.58
177.tif,2,69.76,61.19,149.76,141.19
178.tif,2,134.44,18.33,214.44,98.33
179.tif,4,191.44,26,256,106
179.tif,4,125.82,91.62,205.82,171.62
180.tif,1,211.4,207.24,256,256
180.tif,1,151.07,213.59,231.08,256
180.tif,1,152.66,148.5,232.66,228.5
180.tif,1,59,167.55,139,247.55
181.tif,2,23.63,215.39,103.63,256
181.tif,1,191.94,88.18,256,168.18
182.tif,2,17.25,97.7,97.25,177.7
183.tif,2,190.41,41.73,256,121.73
184.tif,2,72.52,130.63,152.52,210.63
184.tif,2,201.11,132.22,256,212.22
184.tif,2,186.82,35.38,256,115.38
185.tif,2,0,0,60.04,70.93
185.tif,2,94.73,106.43,174.73,186.43
186.tif,1,24.08,160.79,104.07,240.79
187.tif,2,13.04,41.41,93.04,121.41
188.tif,2,142.31,11.57,222.31,91.57
189.tif,2,175.24,11.57,255.24,91.57
189.tif,2,56.18,14.74,136.18,94.74
189.tif,2,0,0,63.15,74.1
189.tif,1,109.62,86.97,189.62,166.97
189.tif,1,35.54,81.68,115.54,161.68
190.tif,2,0,81.01,64.04,161.01
190.tif,2,0,14.33,67.21,94.33
191.tif,2,116.97,96.88,196.97,176.88
192.tif,4,11.52,140.54,91.52,220.54
192.tif,4,117.36,30.47,197.36,110.47
193.tif,1,160.19,209.59,240.19,256
193.tif,1,71.29,152.44,151.29,232.44
194.tif,1,129.61,0,209.61,59.4
195.tif,2,0,131.81,67.91,211.81
196.tif,4,174.77,201.65,254.77,256
197.tif,4,107.68,47.67,187.68,127.67
197.tif,4,126.73,182.6,206.73,256
198.tif,2,169.77,204.42,249.77,256
199.tif,1,165.78,137.74,245.78,217.74
200.tif,1,9.79,118.69,89.79,198.69
201.tif,1,0,101.23,43.34,181.23
202.tif,2,4.2,136.15,84.2,216.15
202.tif,1,81.99,5.98,161.99,85.98
203.tif,2,14.9,110.75,94.9,190.75
204.tif,4,203.34,47.25,256,127.25
205.tif,4,90.22,125.04,170.22,205.04
205.tif,4,23.54,198.07,103.54,256
206.tif,4,29.48,213.94,109.48,256
207.tif,4,149.31,105.99,229.31,185.99
208.tif,2,86.81,92.88,166.81,172.88
209.tif,1,87.81,23.65,167.81,103.65
209.tif,1,157.92,6.45,237.92,86.45
210.tif,2,0,188.13,71.09,256
211.tif,4,112.44,0,192.44,55.41
211.tif,4,182.29,35.73,256,115.73
211.tif,4,101.33,113.52,181.33,193.52
211.tif,4,0,110.34,70.21,190.34
212.tif,2,174.71,77.01,254.71,157.01
213.tif,2,106.21,0,186.21,50.23
213.tif,2,77.37,98.55,157.37,178.55
214.tif,2,0,107.02,45.31,187.02
214.tif,2,189.67,113.37,256,193.37
215.tif,1,149.93,160.06,229.93,240.06
216.tif,2,8.84,3.16,88.84,83.16
217.tif,2,98.92,20.62,178.92,100.62
218.tif,1,149.24,91.48,229.24,171.48
219.tif,2,23.94,97.04,103.94,177.04
220.tif,1,180.54,90.74,256,170.74
220.tif,1,38.46,61.37,118.46,141.37
221.tif,1,110.14,73.87,190.14,153.87
221.tif,1,19.12,88.69,99.12,168.69
222.tif,1,188.31,125.2,256,205.2
222.tif,1,213.44,0,256,61
222.tif,1,0,179.7,65.37,256
223.tif,1,106.93,179.44,186.93,256
224.tif,4,74.48,199.28,154.48,256
224.tif,1,0,0,57.9,58.35
225.tif,1,58.68,0,138.68,48.09
226.tif,1,56.13,5.78,136.13,85.78
227.tif,1,129.07,50.7,209.07,130.7
227.tif,1,0,168.5,40.47,248.5
228.tif,1,59.34,107.85,139.34,187.85
228.tif,1,144.01,4.14,224.01,84.14
229.tif,4,66.51,129.47,146.51,209.47
229.tif,4,143.09,161.29,223.09,241.29
229.tif,4,96.24,96.65,176.24,176.66
229.tif,4,50.62,21.69,130.62,101.69
230.tif,4,79.9,157.95,159.9,237.96
230.tif,3,21.34,165.75,101.34,245.75
231.tif,4,187.2,202.79,256,256
231.tif,4,149.2,181.49,229.2,256
231.tif,4,84,164.69,164,244.69
231.tif,4,135.8,104.38,215.8,184.39
232.tif,3,162.51,158.07,242.51,238.07
232.tif,3,134.3,97.79,214.3,177.79
233.tif,4,163.7,191.92,243.71,256
233.tif,4,151.2,170.22,231.21,250.22
233.tif,4,130.1,200.82,210.11,256
234.tif,4,0,190.62,57.41,256
234.tif,4,0,119.12,48.81,199.12
234.tif,4,18.51,114.52,98.51,194.52
234.tif,4,82.81,193.92,162.81,256
235.tif,4,90.55,127.49,170.55,207.49
235.tif,1,184.01,25.96,256,105.96
235.tif,1,192.11,159.26,256,239.26
235.tif,1,174.81,53.66,254.81,133.66
235.tif,1,40.07,86.73,120.07,166.73
235.tif,1,113.01,9.76,193.01,89.76
236.tif,4,41.67,208.4,121.67,256
236.tif,1,0,157.88,75.41,237.88
237.tif,2,153.61,175.84,233.61,255.84
238.tif,4,212.65,174.88,256,254.88
238.tif,4,157.45,162.38,237.45,242.38
238.tif,4,125.85,61.68,205.85,141.68
239.tif,4,7.35,150.68,87.35,230.68
239.tif,2,108.54,112.27,188.54,192.27
239.tif,2,62.83,21.68,142.83,101.68
239.tif,2,88.6,174.22,168.6,254.22
240.tif,1,105.91,156.65,185.91,236.65
241.tif,1,0,0,46.32,71.55
242.tif,4,90.35,0,170.35,67.58
242.tif,4,173.7,82.84,253.7,162.84
243.tif,4,118.54,0,198.54,42.93
243.tif,4,11.04,0,91.04,48.62
243.tif,2,145.53,18.42,225.54,98.42
244.tif,4,56.8,0.58,136.8,80.58
245.tif,4,150.7,0,230.7,50.29
245.tif,4,172.7,37.89,252.7,117.89
246.tif,4,0,17.19,41.06,97.19
247.tif,3,168.17,0,248.17,76.33
247.tif,3,132.87,82.34,212.87,162.34
248.tif,4,136.7,0,216.71,56.52
249.tif,4,61.31,0,141.31,42.12
249.tif,4,86.81,15.52,166.81,95.52
249.tif,4,59.41,24.82,139.41,104.82
250.tif,2,46.99,0,126.99,77.25
251.tif,4,108.61,0,188.61,76.02
252.tif,4,0,0,63.84,65.44
253.tif,4,89.48,204.22,169.48,256
254.tif,3,83.91,103.83,163.91,183.83
255.tif,1,100.27,0,180.27,78.28
256.tif,2,0,144.72,62.77,224.73
257.tif,4,172.73,202.33,252.73,256
258.tif,4,0,37.73,51.31,117.73
258.tif,4,91.35,137.08,171.35,217.09
258.tif,4,71.2,198.01,151.2,256
258.tif,4,59.85,169.98,139.85,249.99
258.tif,4,0,131.33,45.46,211.33
258.tif,4,94.35,55.48,174.35,135.48
258.tif,4,114.95,46.98,194.95,126.98
258.tif,4,7.35,209.78,87.35,256
258.tif,3,148.99,183.49,228.99,256
259.tif,4,79.92,30.01,159.92,110.01
260.tif,2,0,191.85,73.33,256
261.tif,2,75.85,199.68,155.85,256
261.tif,2,15.69,66.16,95.69,146.16
261.tif,2,58.4,167.24,138.4,247.24
261.tif,2,137.5,151.74,217.5,231.74
262.tif,2,0,216.01,73.02,256
263.tif,4,0,183.76,69.15,256
264.tif,4,175.51,127.51,255.51,207.51
265.tif,4,207.02,46.65,256,126.66
265.tif,4,201.42,49.55,256,129.55
266.tif,4,0,209.44,74.43,256
266.tif,4,87.13,46.21,167.13,126.21
266.tif,4,0,80.96,76.14,160.97
267.tif,2,192.64,37.66,256,117.66
267.tif,2,211.81,0,256,63.98
268.tif,4,0,71.01,72.26,151.01
268.tif,4,83.25,32.89,163.25,112.89
269.tif,1,128.8,5.3,208.8,85.3
270.tif,2,105.72,15.33,185.72,95.33
270.tif,2,37.53,43.35,117.53,123.35
271.tif,4,182.99,32.67,256,112.67
272.tif,4,8.05,0,88.05,69.78
272.tif,4,0,12.5,46.94,92.49
272.tif,2,69.45,0,149.45,71.28
272.tif,2,144.79,0,224.79,56.09
272.tif,2,104.12,73.82,184.12,153.82
273.tif,2,0,0,73.02,40.01
274.tif,4,8.47,0,88.47,46.31
275.tif,4,201.78,12.49,256,92.49
276.tif,4,25.51,0,105.51,47.64
276.tif,4,0.37,51.57,80.37,131.57
276.tif,4,64.37,24.36,144.37,104.36
277.tif,2,3.89,34.96,83.89,114.97
278.tif,1,0,211.07,55.82,256
279.tif,4,42.36,126.3,122.36,206.3
280.tif,1,68.35,192.01,148.35,256
280.tif,1,177.54,109.45,256,189.45
280.tif,1,182.83,196.74,256,256
280.tif,1,90.45,197.51,170.45,256
281.tif,4,184.94,176.49,256,256
281.tif,4,65.36,117.83,145.36,197.83
282.tif,4,0,75.5,69.22,155.5
282.tif,4,0,150.09,73.94,230.09
283.tif,4,92.12,137.37,172.13,217.37
283.tif,4,9.52,158.27,89.52,238.27
284.tif,4,34.72,152.56,114.72,232.56
284.tif,4,164.92,103.77,244.92,183.77
284.tif,4,193.75,203.51,256,256
284.tif,4,48.9,65.07,128.91,145.07
285.tif,1,92.66,164.04,172.66,244.04
286.tif,4,0,181.12,46.23,256
287.tif,4,67.12,195.55,147.12,256
287.tif,4,148.62,202.06,228.62,256
287.tif,4,46.1,87.79,126.1,167.79
288.tif,4,0,103.99,67.09,183.99
289.tif,4,74.36,182.64,154.36,256
289.tif,4,154.62,197.09,234.62,256
290.tif,4,51.52,155.99,131.52,235.99
291.tif,4,173.32,214.26,253.32,256
291.tif,4,62.62,215.96,142.62,256
292.tif,2,8.63,167.69,88.63,247.69
292.tif,1,132.38,205.9,212.38,256
292.tif,1,213.3,212.76,256,256
293.tif,1,86.3,211.16,166.3,256
293.tif,1,189.87,183.35,256,256
293.tif,1,0.3,201.46,80.3,256
293.tif,1,116.7,186.26,196.7,256
293.tif,1,40.22,108.28,120.22,188.28
293.tif,1,17.9,145.56,97.9,225.56
293.tif,1,0,140.96,78.1,220.96
293.tif,1,133.4,211.96,213.41,256
294.tif,1,0,75.03,53.55,155.03
295.tif,4,145.72,47.31,225.72,127.31
296.tif,1,1.21,132.28,81.21,212.28
296.tif,1,0,170.98,73.51,250.98
296.tif,1,19.11,189.58,99.11,256
297.tif,1,144.89,192.14,224.89,256
297.tif,1,194.99,97.63,256,177.63
298.tif,1,0,68.31,71.95,148.31
299.tif,4,7.93,0,87.93,77.93
300.tif,4,137.94,0,217.94,41.99
301.tif,4,30.56,0,110.57,47.63
302.tif,4,0,0,76.64,71.17
303.tif,4,162.67,0,242.67,49.52
303.tif,2,83.46,165.34,163.46,245.34
303.tif,2,131.4,132.14,211.4,212.14
303.tif,1,76,0,156,72.41
304.tif,2,84.5,93.55,164.5,173.55
304.tif,1,66.8,0,146.8,47.35
304.tif,1,81.74,37.62,161.74,117.62
304.tif,1,117.14,15.21,197.13,95.21
305.tif,4,95.58,108.67,175.58,188.67
305.tif,4,83.26,58.86,163.26,138.86
306.tif,4,213.19,12.68,256,92.68
306.tif,4,102.45,0,182.45,64.92
307.tif,4,0,212.8,45.53,256
307.tif,4,22.42,141.45,102.42,221.45
307.tif,4,145.83,21.32,225.83,101.32
308.tif,4,119.43,0,199.43,67.21
308.tif,4,0,1.9,73.19,81.9
308.tif,4,0,199,68.65,256
309.tif,4,125.78,105.99,205.78,185.99
310.tif,4,101.79,196.44,181.79,256
310.tif,1,97.04,206.68,177.04,256
311.tif,1,14.12,36.52,94.12,116.52
312.tif,2,116.82,0,196.82,63.22
312.tif,2,40.64,17.7,120.64,97.7
312.tif,2,162.2,115.14,242.2,195.14
313.tif,2,35.46,6.47,115.46,86.47
313.tif,1,206.7,138.51,256,218.51
314.tif,1,0,150.76,78.27,230.76
314.tif,1,103.31,22.14,183.31,102.14
315.tif,2,13.87,147.6,93.87,227.6
316.tif,2,0,145.71,65.55,225.71
316.tif,2,88.75,58.44,168.75,138.44
317.tif,2,52.7,184.14,132.7,256
318.tif,2,162,178.03,242,256
318.tif,2,160.89,212.6,240.89,256
318.tif,2,211.6,192.84,256,256
318.tif,1,60.51,67.71,140.51,147.71
319.tif,2,146.04,179.57,226.04,256
319.tif,1,31.39,127.15,111.39,207.15
319.tif,1,57.65,76.28,137.65,156.28
320.tif,2,78.47,101.64,158.47,181.64
321.tif,4,0,194.61,46.81,256
321.tif,4,20.5,162.95,100.5,242.95
321.tif,4,0,142.85,49.5,222.85
322.tif,4,65.49,154.14,145.49,234.14
323.tif,2,197.85,204.02,256,256
323.tif,2,144.75,179.72,224.75,256
323.tif,2,214.85,187.42,256,256
324.tif,2,0,140.12,50.45,220.12
325.tif,4,116.43,124.05,196.43,204.05
325.tif,4,185.36,171.97,256,251.97
325.tif,4,145.52,185.35,225.52,256
325.tif,4,99.9,0.17,179.9,80.17
325.tif,4,5.68,105.96,85.68,185.96
325.tif,1,213.61,116.9,256,196.9
326.tif,4,0,161.33,48.22,241.33
327.tif,4,81.32,143.55,161.32,223.55
328.tif,3,4.25,147.04,84.25,227.04
329.tif,4,32.78,151.89,112.79,231.89
329.tif,4,129.07,84.79,209.07,164.8
329.tif,4,146.71,53.85,226.71,133.85
329.tif,3,108.98,147.91,188.98,227.92
329.tif,3,62.91,83.1,142.91,163.1
329.tif,3,0,105.97,79.36,185.97
332.tif,4,36.18,166.97,116.18,246.97
333.tif,2,0,201.49,78.23,256
333.tif,1,31.01,155.32,111.02,235.32
333.tif,1,148.91,152.43,228.91,232.43
334.tif,4,208.84,196.04,256,256
335.tif,1,121.18,207.84,201.18,256
336.tif,1,201.72,90.93,256,170.93
337.tif,1,0,140.97,51.32,220.97
338.tif,1,199.92,190.59,256,256
338.tif,1,196.47,25.4,256,105.4
339.tif,2,29.74,50.59,109.74,130.59
339.tif,2,64.82,159.82,144.82,239.82
339.tif,1,0,110.76,57.2,190.76
339.tif,1,10.12,165.8,90.12,245.8
339.tif,1,153.77,47.71,233.77,127.71
340.tif,2,186.48,126.31,256,206.31
340.tif,2,174.28,101.01,254.28,181.01
340.tif,2,199.08,151.51,256,231.51
341.tif,1,209.4,200.71,256,256
342.tif,1,0,214.17,69.8,256
342.tif,1,0,163.18,69,243.17
342.tif,1,23.5,188.78,103.5,256
342.tif,1,69.79,119.14,149.79,199.14
342.tif,1,90,137.61,170,217.61
342.tif,1,188.13,165.36,256,245.36
